Latitude,Longitude,Prices,Restuarant Name
37.8705120074887,-122.279912039881,2,North Beach Pizza
37.8586540222168,-122.268142700195,2,Crixa Cakes
37.8485717773438,-122.270637512207,1,Chens Garden
37.8538113952591,-122.270626947284,1,Daniel's Caribbean Kitchen
37.8508799,-122.27114,1,Firehouse Art Collective Adeline Studios
37.85707,-122.26739,100,Tamale Lady at Berkeley Bowl Parking Lot
37.8527546761124,-122.269600530863,1,Ada's Cafe
37.87272,-122.27341,100,Baiano Pizzeria - Berkeley
37.8492637746169,-122.271557673812,1,Domino's Pizza
37.85778,-122.25336,1,In The Wood
37.85815,-122.25284,2,The Italian Homemade Company
37.858954,-122.259683,2,Royal Rangoon
37.8543424357066,-122.259719409049,2,Hashtag Poki
37.8564099,-122.25267,2,Trattoria La Siciliana
37.85666,-122.2527,1,Manpuku
37.859286,-122.266717,2,Kirala Japanese Restaurant
37.8574461,-122.2532025,2,Summer Kitchen & Bake Shop
37.85757,-122.25337,2,La Mediterranee
37.8571053197183,-122.253486961126,2,Donato & Co
37.8573558479548,-122.253145650029,2,Urban Remedy
37.85641,-122.25267,2,The Burger Joint
37.8567237854004,-122.253524780273,2,Ashby Marketplace
37.852817,-122.265882,2,Los Cilantros
37.8588226,-122.2449543,1,The Station
37.85798,-122.25337,2,Shen Hua
37.85905,-122.2589,1,Tai San Restaurant
37.8564109802246,-122.252670288086,1,Gordo Taqueria
37.85875,-122.24414,2,Fournée Bakery
37.8510024077358,-122.252294834414,2,Sargun Indian Cuisine
37.85625,-122.25266,2,King Yen Restaurant
37.85552,-122.26628,2,Emilia's Pizzeria
37.8587645191981,-122.241967633462,3,Limewood Bar & Restaurant
37.85483,-122.24834,1,Star Meats
37.85637,-122.25327,1,House of Curries
37.8557585924864,-122.266521826386,1,Taqueria La Familia
37.85298,-122.26591,2,The Starry Plough
37.8583603,-122.252917,1,Nabolom Bakery
37.8584959,-122.2440589,2,Rick & Ann's
37.8583602140686,-122.253363148486,2,Elmwood Cafe
37.8531726,-122.2597991,1,The Smokehouse
37.8587216591419,-122.266804474939,1,Sconehenge Bakery & Cafe
37.8545454,-122.2663881,2,Smokey J's Q House BBQ
37.85677,-122.25915,2,Ethiopia Restaurant
37.855464,-122.260147,100,Genji Sushi Bars
37.851133,-122.2523306,2,Mitama Restaurant
37.8528805,-122.2661285,2,La Peña Cultural Center
37.862000127131,-122.25335217949,1,Sack's Coffee House
37.8594360351562,-122.258850097656,1,Mudrakers Cafe
37.856273651123,-122.264976501465,1,Loving Live Treats
37.8562,-122.25316,1,A'cuppa Tea
37.85552,-122.26628,1,Roxie Delicatessen
37.8642006,-122.2690201,100,Herrick Campus Bistro
37.8568267822266,-122.253303527832,1,Espresso Roma
37.857811,-122.2427292,100,Club Bayview Cafe
37.8509377386895,-122.252625977593,2,Extreme Pizza - College Ave
37.87994,-122.29714,2,La Calle 10
37.861283288997,-122.29840243871,1,Vik's Chaat
37.87003,-122.30046,2,Bette's Oceanview Diner
37.86932,-122.30061,3,Iyasare
37.8705491730327,-122.299892242725,2,Cafe M
37.8552798181772,-122.292307913303,2,900 Grayson
37.8636642673049,-122.318035600974,3,Skates On The Bay
37.8514925390482,-122.289982438087,2,Spoon Korean Bistro
37.8696899,-122.3007202,2,Zut Tavern
37.8700666816273,-122.301437358962,2,Tacubaya
37.8686955637467,-122.294642859494,2,Doc's Refresher
37.86854,-122.29633,2,Brittany Crepes
37.870254803062,-122.30114664074,2,Market Hall Foods
37.878309,-122.301181,2,Picante
37.8609986,-122.2899711,2,Anchalee Thai Cuisine
37.8784567862749,-122.296859622002,2,Sanctuary Bistro
37.8793732364987,-122.297652885318,2,Farm Burger Berkeley
37.86362,-122.297432,2,Tomate Cafe
37.86835,-122.3141,2,The Bay Grille & Lounge
37.8528499,-122.29376,2,Riva Cucina
37.8681542321577,-122.299859672785,2,Spenger's Fresh Fish Grotto
37.8640124737336,-122.313666343689,2,Hana Japan Steak & Seafood
37.8593467622161,-122.315877043759,3,HS Lordships
37.8670371074651,-122.300466993478,2,Brennan's Restaurant
37.8516916,-122.2925025,2,Augie's Montreal Deli
37.853295,-122.290396,2,Berkeley Bowl West
37.8688330203295,-122.293024733663,1,The Cheese Steak Shop
37.8698214143515,-122.300530225039,1,Bette's-To-Go
37.8705258,-122.3009826,2,Pompette
37.8760173212886,-122.303487025201,2,Cosa Nostra Pasta Truck
37.86613,-122.305791,1,Sea Breeze Market & Deli
37.8683499544955,-122.300048500677,2,Project Juice
37.85766,-122.29112,2,Juan's Place
37.8571739,-122.2917927,2,Standard Fare
37.8657455444336,-122.295021057129,1,La crepe a moi
37.8597327,-122.2956227,4,Cafe 64
37.878774760786,-122.303589010587,1,Gilman Grill
37.8796196,-122.301712,2,Lama Beans Cafe
37.8619956970215,-122.293296813965,1,Just Rite Market
