Latitude,Longitude,Prices,Rating,Restaurant Name,Review Count,Student Location?
37.8681298970289,-122.258307339617,1,3.5,Cafe Durant,379,True
37.87127,-122.27267,1,4.0,Chaat Cafe,364,True
37.87236,-122.26873,2,3.5,Turkish Kitchen,435,True
37.8710823059082,-122.267944335938,1,3.5,Original Pollo,137,True
37.8682781,-122.2604314,2,4.5,Berkeley Student Food Collective,51,True
37.870827242732,-122.272991985083,1,4.0,Rainbow Ranch Cafe,31,True
37.8656,-122.26698,1,3.5,Royal Ground Coffee House,188,True
37.867282,-122.258781,1,3.0,Tako Sushi,520,True
37.87225,-122.27013,100,5.0,Certified Fresh - Stand Up Comedy,1,True
37.868213,-122.258033,1,3.5,Durant Square - Asian Ghetto,88,True
37.86818,-122.25826,1,3.0,Lotus House,278,True
37.8680398922584,-122.256618440151,2,3.0,Henry's,325,True
37.86376,-122.26779,1,3.0,Frausto's Restaurant,103,True
37.8681831359863,-122.258262634277,2,3.0,Chang Luong,19,True
37.86873,-122.26747,1,4.0,E-Z Stop Deli,120,True
37.86804,-122.25849,1,3.5,D'Yar,285,True
37.86821,-122.25803,1,2.0,Mandarin House,188,True
37.86885,-122.26749,100,3.5,Chipotle Mexican Grill,18,True
37.87225,-122.27013,1,4.0,Red Tomato Pizza House,176,True
37.87127,-122.2687,1,3.5,Jazz Caffe,50,True
37.86718,-122.2583,2,3.0,Berkeley Thai House,427,True
37.87038,-122.27033,1,4.0,Nuha's Cafe,30,True
37.8687371260536,-122.258199617722,1,3.5,Ladle & Leaf,213,True
37.86833,-122.26,100,5.0,Tammy's Chicken In Waffles,1,True
37.8681784847695,-122.257999964681,1,2.5,Pancho's Mexican Grill,150,True
37.8674684464931,-122.258890941739,1,3.0,Pappy's Grill & Sports Bar,346,True
37.873458576501,-122.26644752103,1,3.5,Yali's Oxford Street Cafe,226,True
37.8687033929078,-122.258592533087,1,3.5,Cafe Milano,396,True
37.86856,-122.26826,2,2.0,The Original,261,True
37.8689273,-122.2682289,1,2.0,Papa John's Pizza,147,True
37.8683,-122.26018,1,3.5,Sunrise Deli,212,True
37.8672,-122.25858,1,3.5,Fat Slice Pizza,540,True
37.8680525,-122.258168,1,3.5,Sweetheart Cafe,541,True
37.8680499,-122.25931,1,3.0,ABE's Pizza,528,True
37.8647260755003,-122.25833773613,1,4.0,Kathmandu Market and Deli,5,True
37.873663,-122.26888,1,3.5,Berkeley Espresso,207,True
37.86827,-122.25935,100,4.5,Foley's Deli,5,True
37.87026,-122.26661,1,3.0,Cafe Rio,57,True
37.86974,-122.2672,1,3.5,Cafe Panini,103,True
37.86856,-122.26826,100,2.5,Mike's Diner,3,True
37.86863,-122.25785,1,3.5,Indian Flavors Express,223,True
37.86802,-122.25957,1,3.0,Kip's Bar,314,True
37.8662147521973,-122.268264770508,2,3.0,Extreme Pizza - Shattuck Ave.,211,True
37.8721306093822,-122.26969756186,2,3.5,NASH CAFE,4,True
37.86835,-122.25887,1,3.0,Chipotle Mexican Grill,338,True
37.8698469,-122.2703536,1,3.0,K's Internet Cafe,44,True
37.87179,-122.26747,2,3.5,VCafe,90,True
37.8688237,-122.2594536,100,4.0,Star Ginger,1,True
37.86904,-122.26827,1,3.0,Tea Fever,177,True
37.8694458007812,-122.269485473633,1,3.0,Lox Stock & Bagel,42,True
37.8688237,-122.2594536,100,4.0,Mixiote,1,True
37.86786,-122.266,2,5.0,Chez Trik,1,True
37.8678818,-122.2568512,1,3.0,UCafe,133,True
37.868562384901,-122.25930965908,1,2.0,Subway,71,True
37.8687597263416,-122.262510845178,100,4.0,The Pro Shop @ RSF,1,True
37.86996,-122.27055,100,4.0,Taco Truck,2,True
37.8797404028451,-122.26899094044,2,4.0,Tigerlily Berkeley,442,True
37.8799888258134,-122.268409994017,2,4.0,Nico's 1508,298,True
37.8785970706384,-122.268645902327,2,4.0,Grégoire,2059,True
37.8750551,-122.2689036,3,4.0,Corso,604,True
37.8755147371093,-122.259808405423,1,4.0,The Snack Shack,124,True
37.87595,-122.26907,2,3.5,Agrodolce Osteria,244,True
37.87981,-122.26889,2,4.0,Guacamole 61,177,True
37.879664,-122.26894,4,4.0,Chez Panisse,1676,True
37.8798356,-122.2694873,1,4.5,Cheese Board Pizza,4736,True
37.87537,-122.25976,1,4.5,MoMo,19,True
37.87959,-122.26886,3,4.0,Chez Panisse Cafe,944,True
37.878719329834,-122.26880645752,2,4.5,JotMahal Palace of Indian Cuisine,146,True
37.87714,-122.269102,2,4.0,Cha-Ya,647,True
37.877052,-122.269053,2,4.0,Da Lian,361,True
37.8764624711412,-122.269090678823,2,4.0,Taste of the Himalayas,786,True
37.8818319209494,-122.269697226584,2,4.0,Kamado Sushi,251,True
37.8803132,-122.2698671,2,4.0,Mission Heirloom,384,True
37.88178,-122.26982,2,4.0,Lo Coco's,375,True
37.87994,-122.2697,2,4.5,The Cheese Board,734,True
37.8798836604033,-122.269455248543,2,5.0,Lou Lou Pop Up,2,True
37.8754131291606,-122.260336317122,1,4.5,Abe's Cafe,64,True
37.87515,-122.26896,1,4.0,Oriental Restaurant,358,True
37.87534,-122.25997,1,4.5,Zak's Snacks,28,True
37.8782181375896,-122.269277513503,2,3.5,Crepevine Restaurant,667,True
37.8753699,-122.25976,1,3.0,Aki Japanese Restaurant,78,True
37.8756,-122.26044,2,4.0,Daily Pint,89,True
37.873992742077,-122.268849313259,2,4.0,sweetgreen,261,True
37.87809,-122.26951,2,3.5,Barney's Gourmet Hamburgers,650,True
37.87981,-122.2689,2,4.0,Epicurious Garden,52,True
37.8751353,-122.2601139,1,4.5,Pizzahhh,180,True
37.88071,-122.26892,2,3.5,Saul's Restaurant & Delicatessen,1289,True
37.879644,-122.269032,2,3.5,César,595,True
37.87526,-122.26049,1,4.0,Urbann Turbann,440,True
37.87822391693,-122.2696352005,2,4.0,The Local Butcher Shop,181,True
37.8755231201649,-122.260284349322,1,4.0,Nefeli Caffe,195,True
37.8745171305539,-122.268490782922,2,4.0,Brazil Cafe Bistro,32,True
37.8752046078444,-122.259823009372,1,3.0,T C Garden Restaurant,124,True
37.8757980465889,-122.26032525301,1,4.0,Hummingbird Cafe,212,True
37.87568,-122.26004,1,4.0,The Stuffed Inn,215,True
37.87585,-122.26007,1,3.0,Jasmine Thai,94,True
37.876354,-122.269256,1,4.0,Karma Kitchen,55,True
37.8752046078444,-122.259823009372,1,3.0,Camille,86,True
37.87558,-122.25998,1,3.5,Bongo Burger,206,True
37.87859,-122.26878,2,3.5,Dara Thai Lao Cuisine,295,True
37.8751730657207,-122.260311186624,1,3.5,Northside Cafe,255,True
37.87981,-122.26889,2,3.5,Imperial Tea Court,324,True
37.87551390518,-122.259083314467,1,3.0,V&A Cafe,14,True
37.8808670043945,-122.268943786621,2,3.5,Toyo Japanese Restaurant,116,True
37.87526,-122.26049,1,3.0,Dyar Mediterranean Cuisine,55,True
37.87558,-122.25998,2,3.5,Celia's Mexican Restaurant,206,True
37.8756619244814,-122.260311841965,1,3.5,La Val's Pizza,393,True
37.8763542175293,-122.269256591797,2,3.5,Thai Delight Cuisine,310,True
37.8768514841795,-122.268801033497,2,3.5,Poulet,143,True
37.87556,-122.26044,1,3.0,La Burrita,232,True
37.88155,-122.27433,2,3.5,Fat Apple's Restaurant & Bakery,383,True
37.877924,-122.2693152,2,3.5,Guerilla Cafe,556,True
37.87981,-122.26889,1,3.5,Soop,139,True
37.87501,-122.26894,1,4.0,Fertile Grounds Cafe,232,True
37.87981,-122.26889,2,3.5,Kirala 2 Japanese Cuisine,161,True
37.88012,-122.26862,2,4.0,Juice Bar Collective,107,True
37.8752509,-122.2689199,2,3.5,Party Sushi,208,True
37.8733141647778,-122.264895737171,1,3.0,Pat Brown's Grill,35,True
37.87536,-122.25976,1,2.5,Subway,12,True
37.8791389465332,-122.266716003418,100,5.0,Tacos Torres,3,True
37.88246,-122.27409,1,3.5,Rose & Grove Market,7,True
37.875245,-122.259747,100,3.0,Hearst Food Court,1,True
37.8686158247621,-122.292174473405,2,4.0,La Marcha Tapas Bar,445,False
37.8606764227152,-122.289570048451,2,4.0,Longbranch,288,False
37.86843,-122.29153,2,5.0,Mister Bolenca,35,False
37.8776385324438,-122.295125238597,1,4.0,Super Super Restaurant,235,False
37.86894,-122.29163,2,4.5,La Capilla,110,False
37.86752,-122.29124,2,4.0,Gaumenkitzel,490,False
37.87154,-122.29259,1,4.5,Casa Latina,799,False
37.86828,-122.29249,2,4.5,El Patio,39,False
37.8609809875488,-122.289154052734,2,4.0,Le Pho,117,False
37.8698395883553,-122.287912028045,1,4.0,La Mission,938,False
37.870030791404,-122.284309866667,1,4.0,Zazzi Foods,19,False
37.8683240308182,-122.291685471675,2,4.0,Luca Cucina Italiana,267,False
37.86038,-122.28974,2,4.0,Paisan,414,False
37.8784484863281,-122.294784545898,2,4.0,Stella Nonna,312,False
37.8721536,-122.2931977,1,4.5,Cafe Karla,20,False
37.86181,-122.29021,2,3.5,Smoke Berkeley,408,False
37.869142,-122.293059,1,4.0,Kabana Restaurant,633,False
37.87007,-122.28317,1,4.0,Taqueria Monte Cristo,572,False
37.8562,-122.27995,2,3.5,Bootstrapper,30,False
37.8684079,-122.292166,1,4.5,Middle East Market,164,False
37.8697299,-122.29192,2,3.5,Everett & Jones,620,False
37.86435,-122.29014,1,4.5,Alfonso's Cafe,195,False
37.85911,-122.28932,1,4.0,Missouri Lounge,395,False
